CYCLE, EVENT_NAME, CACHE_NAME, ADDR, IP, CACHE_HIT, TYPE
1027,PREFETCH_SUCCESS,cpu0_L2C,102137162,0,0,0
1028,PREFETCH_SUCCESS,cpu0_L2C,102137163,0,0,0
1029,CACHE_OPERATE,cpu0_L2C,111930885,4201020,0,LOAD
1029,PREFETCH_SUCCESS,cpu0_L2C,111930890,0,0,0
1030,CACHE_OPERATE,cpu0_L2C,78007557,4201044,0,LOAD
1030,PREFETCH_SUCCESS,cpu0_L2C,78007562,0,0,0
1031,CACHE_OPERATE,cpu0_L2C,17681797,4201057,0,LOAD
1031,PREFETCH_SUCCESS,cpu0_L2C,17681802,0,0,0
1032,CACHE_OPERATE,cpu0_L2C,48234757,4201071,0,LOAD
1032,PREFETCH_SUCCESS,cpu0_L2C,48234762,0,0,0
1033,CACHE_OPERATE,cpu0_L2C,26079045,4201094,0,LOAD
1033,PREFETCH_SUCCESS,cpu0_L2C,26079050,0,0,0
1034,PREFETCH_SUCCESS,cpu0_L2C,26079051,0,0,0
1035,PREFETCH_SUCCESS,cpu0_L2C,26079052,0,0,0
1036,PREFETCH_SUCCESS,cpu0_L2C,26079053,0,0,0
1037,PREFETCH_SUCCESS,cpu0_L2C,26079054,0,0,0
1038,PREFETCH_SUCCESS,cpu0_L2C,26079055,0,0,0
1039,PREFETCH_SUCCESS,cpu0_L2C,26079056,0,0,0
1045,CACHE_OPERATE,cpu0_L2C,52174341,4201107,0,LOAD
1045,PREFETCH_SUCCESS,cpu0_L2C,52174346,0,0,0
1046,PREFETCH_SUCCESS,cpu0_L2C,52174347,0,0,0
1047,PREFETCH_SUCCESS,cpu0_L2C,52174348,0,0,0
1048,PREFETCH_SUCCESS,cpu0_L2C,52174349,0,0,0
1049,PREFETCH_SUCCESS,cpu0_L2C,52174350,0,0,0
1050,PREFETCH_SUCCESS,cpu0_L2C,52174351,0,0,0
1051,PREFETCH_SUCCESS,cpu0_L2C,52174352,0,0,0
1400,CACHE_OPERATE,cpu0_L2C,102137158,4201008,0,LOAD
1401,CACHE_OPERATE,cpu0_L2C,111930886,4201020,0,LOAD
1402,CACHE_OPERATE,cpu0_L2C,78007558,4201044,0,LOAD
1403,CACHE_OPERATE,cpu0_L2C,17681798,4201057,0,LOAD
1404,CACHE_OPERATE,cpu0_L2C,48234758,4201071,0,LOAD
1407,CACHE_OPERATE,cpu0_L2C,26079046,4201094,0,LOAD
1408,CACHE_OPERATE,cpu0_L2C,52174342,4201107,0,LOAD
1470,CACHE_OPERATE,cpu0_L2C,102137159,4201008,1,LOAD
1479,CACHE_OPERATE,cpu0_L2C,111930887,4201020,1,LOAD
1480,CACHE_OPERATE,cpu0_L2C,78007559,4201044,1,LOAD
1481,CACHE_OPERATE,cpu0_L2C,17681799,4201057,1,LOAD
1482,CACHE_OPERATE,cpu0_L2C,48234759,4201071,1,LOAD
1483,CACHE_OPERATE,cpu0_L2C,26079047,4201094,1,LOAD
1484,CACHE_OPERATE,cpu0_L2C,52174343,4201107,1,LOAD
1485,CACHE_OPERATE,cpu0_L2C,95178496,4201034,0,LOAD
1486,CACHE_OPERATE,cpu0_L2C,102137160,4201008,1,LOAD
1487,CACHE_OPERATE,cpu0_L2C,111930888,4201020,0,LOAD
1488,CACHE_OPERATE,cpu0_L2C,78007560,4201044,0,LOAD
1489,CACHE_OPERATE,cpu0_L2C,72525763,4201049,0,LOAD
1490,CACHE_OPERATE,cpu0_L2C,17681800,4201057,1,LOAD
1491,CACHE_OPERATE,cpu0_L2C,123893386,4201062,0,LOAD
1492,CACHE_OPERATE,cpu0_L2C,48234760,4201071,0,LOAD
1493,CACHE_OPERATE,cpu0_L2C,26079048,4201094,0,LOAD
1494,CACHE_OPERATE,cpu0_L2C,87673148,4201099,0,LOAD
1495,CACHE_OPERATE,cpu0_L2C,52174344,4201107,1,LOAD
1496,CACHE_OPERATE,cpu0_L2C,5746293,4201112,0,LOAD
1777,CACHE_OPERATE,cpu0_L2C,102137161,4201008,1,LOAD
1777,PREFETCH_SUCCESS,cpu0_L2C,102137166,0,0,0
1778,CACHE_OPERATE,cpu0_L2C,111930889,4201020,0,LOAD
1778,PREFETCH_SUCCESS,cpu0_L2C,111930894,0,0,0
1779,PREFETCH_SUCCESS,cpu0_L2C,111930895,0,0,0
1780,PREFETCH_SUCCESS,cpu0_L2C,111930896,0,0,0
1781,CACHE_OPERATE,cpu0_L2C,78007561,4201044,0,LOAD
1781,PREFETCH_SUCCESS,cpu0_L2C,78007566,0,0,0
1782,PREFETCH_SUCCESS,cpu0_L2C,78007567,0,0,0
1783,PREFETCH_SUCCESS,cpu0_L2C,78007568,0,0,0
1784,CACHE_OPERATE,cpu0_L2C,17681801,4201057,0,LOAD
1784,PREFETCH_SUCCESS,cpu0_L2C,17681806,0,0,0
1785,CACHE_OPERATE,cpu0_L2C,48234761,4201071,0,LOAD
1785,PREFETCH_SUCCESS,cpu0_L2C,48234766,0,0,0
1786,PREFETCH_SUCCESS,cpu0_L2C,48234767,0,0,0
1787,PREFETCH_SUCCESS,cpu0_L2C,48234768,0,0,0
1788,CACHE_OPERATE,cpu0_L2C,26079049,4201094,0,LOAD
1788,PREFETCH_SUCCESS,cpu0_L2C,26079054,0,0,0
1789,CACHE_OPERATE,cpu0_L2C,52174345,4201107,1,LOAD
1789,PREFETCH_SUCCESS,cpu0_L2C,52174350,0,0,0
1790,PREFETCH_SUCCESS,cpu0_L2C,52174351,0,0,0
1791,PREFETCH_SUCCESS,cpu0_L2C,52174352,0,0,0
1792,PREFETCH_SUCCESS,cpu0_L2C,52174353,0,0,0
1793,PREFETCH_SUCCESS,cpu0_L2C,52174354,0,0,0
1794,PREFETCH_SUCCESS,cpu0_L2C,52174355,0,0,0
1795,PREFETCH_SUCCESS,cpu0_L2C,52174356,0,0,0
1937,CACHE_OPERATE,cpu0_L2C,102137162,4201008,1,LOAD
1947,CACHE_OPERATE,cpu0_L2C,111930890,4201020,1,LOAD
1948,CACHE_OPERATE,cpu0_L2C,78007562,4201044,1,LOAD
1949,CACHE_OPERATE,cpu0_L2C,17681802,4201057,1,LOAD
1950,CACHE_OPERATE,cpu0_L2C,48234762,4201071,1,LOAD
1951,CACHE_OPERATE,cpu0_L2C,26079050,4201094,1,LOAD
1952,CACHE_OPERATE,cpu0_L2C,52174346,4201107,1,LOAD
1953,CACHE_OPERATE,cpu0_L2C,102137163,4201008,1,LOAD
1954,CACHE_OPERATE,cpu0_L2C,111930891,4201020,0,LOAD
1954,PREFETCH_SUCCESS,cpu0_L2C,111930896,0,0,0
1955,CACHE_OPERATE,cpu0_L2C,78007563,4201044,0,LOAD
1955,PREFETCH_SUCCESS,cpu0_L2C,78007568,0,0,0
1956,CACHE_OPERATE,cpu0_L2C,17681803,4201057,0,LOAD
1956,PREFETCH_SUCCESS,cpu0_L2C,78007569,0,0,0
1957,PREFETCH_SUCCESS,cpu0_L2C,78007570,0,0,0
1958,CACHE_OPERATE,cpu0_L2C,48234763,4201071,0,LOAD
1958,PREFETCH_SUCCESS,cpu0_L2C,48234768,0,0,0
1959,CACHE_OPERATE,cpu0_L2C,26079051,4201094,1,LOAD
1959,PREFETCH_SUCCESS,cpu0_L2C,48234769,0,0,0
1960,CACHE_OPERATE,cpu0_L2C,52174347,4201107,1,LOAD
1960,PREFETCH_SUCCESS,cpu0_L2C,48234770,0,0,0
